var_id,tag_name,story_id,psr_idx,psr_style,is_footnote,text,permission
C_000499,story_02_ch02_rt02,u10a9,138,01 本文,False,「確かに・・・」,TEXT_ONLY_REPLACE
C_000500,story_02_ch02_rt02,u10a9,139,01 本文,False,「ウチを辞めて、他を経験したうえで、 『やっぱり、ここがいい』 と思って戻ってくる人は、戻してもらえたことに感謝して、かえってロイヤリティが高くなるから、そういった 『出戻りを受け入れる環境を整えておきなさい』 とアドバイスしてくれた」,TEXT_ONLY_REPLACE
C_000501,story_02_ch02_rt02,u10a9,140,01 本文,False,「制度のこともそうですが、辞めたことで、 『裏切り者だ』 とみられると思って、戻りたくても戻れない元社員がいるかもしれませんね。 そういうことのないような組織文化にしていかなきゃいけませんね」,TEXT_ONLY_REPLACE
C_000502,story_02_ch02_rt02,u10a9,141,01 本文,False,「うん、これまでは、知らず知らず、ブランドに安住してきたけど、グループを出たら、時代の変化に対応していかないと、ウチの存続自体が危機に陥る。 会食のときに米倉さんが、『野良犬』の話をしてくれたけど、ウチ自体もノーブランドの『野良犬』になると思わなきゃいけないってことだ」,TEXT_ONLY_REPLACE
C_000503,story_02_ch02_rt02,u10a9,142,01 本文,False,「そうですね。 それにしても・・・あの話って・・・そういう深謀遠慮があってのことだったのでしょうか・・・」,TEXT_ONLY_REPLACE
C_000504,story_02_ch02_rt02,u10a9,143,01 本文,False,「わからない・・・でもウチは早く独自のブランドを作り上げなきゃいけない。 あっ、そろそろ外出の時間だ！」,TEXT_ONLY_REPLACE
C_000505,story_02_ch02_rt02,u10a9,144,01-02 節 数字,False,４,TEXT_ONLY_REPLACE
C_000506,story_02_ch02_rt02,u10a9,145,01-02 節 見出し,False,ジェインの林さん,TEXT_ONLY_REPLACE
C_000507,story_02_ch02_rt02,u10a9,146,01 本文,False,超優秀な林さん,TEXT_ONLY_REPLACE
C_000508,story_02_ch02_rt02,u10a9,147,01 本文,False,さらに少し経った頃。,TEXT_ONLY_REPLACE
C_000509,story_02_ch02_rt02,u10a9,148,01 本文,False,パントリーで見かけた西郷に声をかける寺田社長。 「新年が明けてから、皆、忙しそうだ。 西郷さんも忙しそうだね」,TEXT_ONLY_REPLACE
C_000510,story_02_ch02_rt02,u10a9,149,01 本文,False,「はい、もうバタバタです」,TEXT_ONLY_REPLACE
C_000511,story_02_ch02_rt02,u10a9,150,01 本文,False,「年度末は、いつもそうだけど。 でも今年は、クロージングが、もうすぐだ」,TEXT_ONLY_REPLACE
C_000512,story_02_ch02_rt02,u10a9,151,01 本文,False,「そうなんですよね。ホントに・・・しかし、この忙しさって・・・」 と応じながら、西郷が、 「あっ、そうだ」 と続ける。,TEXT_ONLY_REPLACE
C_000513,story_02_ch02_rt02,u10a9,152,01 本文,False,「あの・・・林さんのことですが・・・林さんのロケットスタートぶりは、スゴイですよ。 優秀ってああいう人のことなんですね。次元が違います。 あんな若者が世の中にいるなんて、素晴らしいです」 西郷は、ジェインの米倉が、常駐要員として置いていった林を、手放しで、べた褒めする。,TEXT_ONLY_REPLACE
C_000514,story_02_ch02_rt02,u10a9,153,01 本文,False,年末、ジェインとの会食のときに、米倉から 『ウチから林という若手を入れます』 と一方的に伝えられたとき、レポートラインがどうなるのか、具体的には、誰の指示で動くのか、西郷はおおいに気になった。 その林が常駐し始めて、すでに数カ月が過ぎていた。,TEXT_ONLY_REPLACE
C_000515,story_02_ch02_rt02,u10a9,154,01 本文,False,林は、米倉から、セカンドデューデリジェンスの仕事に加えて、電子が独り立ちするために必要な業務の整理、さらにあきらめた投資のリスト作成などを指示されていた。 どれもこれも大きなテーマである。,TEXT_ONLY_REPLACE
